;instance;makespans;result;models;models_more;time_total;time_unsat
23;24_3_41_L.lp.out;[10074, 10074, 10074, 10074, 10074, 10074, 10074, 9978, 9978, 9978, 9925, 9925, 9925, 9925, 9891, 9891, 9891, 9891, 9891, 9703, 9703, 9703, 9703, 9703, 9512, 9512, 9512, 9512, 9512, 9348, 9348, 9348, 9236, 9236, 9236, 9236, 9064, 9064, 9064, 9064, 9064, 9064, 9064, 9064, 9064, 8884, 8884, 8884, 8884, 8884, 8884, 8692, 8692, 8685, 8685, 8685, 8657, 8657, 8657, 8657, 8657, 8657, 8657, 8507, 8507, 8507, 8507, 8507, 8507, 8507, 8158, 8158, 8158, 8158, 8033, 8033, 8033, 8033, 8033, 8033, 8033, 8033, 8033, 7948, 7948, 7948, 7361, 7361, 7361, 7361, 7361, 7361, 7361, 7300, 7300, 7227, 7227, 7227, 7227, 7227, 7158, 7158, 7158, 7158, 6901, 6901, 6901, 6901, 6901, 6901, 6901, 6901, 6901, 6735, 6735, 6735, 6735, 6735, 6735];FEASIBLE;119;True;300.001;0.0
24;25_3_33_L.lp.out;[7494, 7494, 7494, 7494, 7494, 7494, 7494, 7494, 7403, 7403, 7403, 7403, 7403, 7403, 7403, 7316, 7316, 7316, 7130, 7130, 7130, 7130, 7110, 7110, 7110, 7110, 7110, 7110, 7110, 6799, 6799, 6799, 6799, 6799, 6466, 6466, 6466, 6466, 6466, 6466, 6181, 6181, 6181, 6181, 6181, 6181, 6110, 6110, 6110, 6110, 6110, 6110, 6110, 6110, 6076, 6076, 6076, 6076, 5984, 5984, 5984, 5143, 5143, 5143, 5143, 5022, 5022, 5022, 5022, 5022, 5022];FEASIBLE;71;True;300.002;0.0
25;26_3_29_L.lp.out;[6119, 6119, 6119, 6119, 6119, 6119, 6119, 6119, 5770, 5770, 5770];FEASIBLE;11;True;300.001;0.0
26;27_3_42_L.lp.out;[10305, 10305, 10305, 10305, 10305, 10305, 10305, 10305, 10305, 10305, 10305, 10305, 9847, 9847, 9847, 9847, 9801, 9318, 9318, 9318, 9318, 9318, 9318, 9318, 9318, 9318, 9318, 8978, 8978, 8978, 8978, 8978, 8557, 8557, 8557, 8557, 8557, 8557, 8557, 8138, 8138, 8138, 8138, 8138, 7893, 7893, 7893, 7893, 7893, 7893];FEASIBLE;50;True;300.001;0.0
27;28_3_28_L.lp.out;[5224, 5224, 5224, 5224, 5224, 4727, 4727, 4727, 4727, 4727, 4727, 4727, 4727, 4544, 4544, 4544, 4544, 4544, 4417, 4251, 4251, 4251, 4251, 4251, 3997, 3997, 3997, 3997, 3997, 3997, 3789, 3789, 3789, 3789, 3789, 3526, 3526, 3526, 3526, 3526, 3523, 3360, 3360, 3360, 3258, 3258, 3258, 3258, 3258, 3258, 3258, 3254, 3254];FEASIBLE;53;True;300.001;0.0
28;29_3_34_L.lp.out;[7253, 7253, 7253, 7253, 7253, 7253, 7253, 7253, 7253, 7253, 7253, 6881, 6881, 6736, 6736, 6736, 6736, 6736, 6691, 6691, 6691, 6691, 6691, 6691, 6691];FEASIBLE;25;True;300.001;0.0
29;30_3_24_L.lp.out;[4535, 4370, 4370, 4370, 4370, 4370, 4262, 4262, 4262, 4262, 4246, 4246, 4246, 4246, 4211, 4211, 4211, 4211, 4211, 4211, 4211, 4015, 4015, 4015, 4015, 4015, 4015, 4015, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3749, 3412, 3412, 3412, 3412, 3412, 3412, 3091, 3091, 3091, 3091, 3091, 3064, 3064, 3064, 3064, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2623, 2462, 2462, 2265, 2265, 2265, 2265, 2265, 2265, 2265, 2265, 2265, 2265, 2265, 2265, 2139, 2139, 2139, 2134, 2134];FEASIBLE;159;True;300.001;0.0
30;31_3_30_L.lp.out;[6540, 6540, 6540, 6540, 6540, 6540, 6540, 6540, 6540];FEASIBLE;9;True;300.002;0.0
31;32_3_26_L.lp.out;[4073, 3722, 3722, 3722, 3722, 3722, 3448, 3448, 3448, 3448, 3448, 3448];FEASIBLE;12;True;300.001;0.0
32;33_3_5_L.lp.out;[1229, 1016, 1016, 1016, 677, 677, 677, 677, 677];OPTIMAL;9;False;0.571;0.162
