;instance;makespans;result;models;models_more;time_total;time_unsat
27;28_3_28_L.lp.out;[5001, 4703, 4619, 4569, 4321, 4304, 4243, 4215, 4197, 4173, 4142, 4137, 4100, 4079, 4078, 4059, 4034, 4009, 3951, 3866, 3741, 3683, 3677, 3660, 3590, 3589, 3541, 3538, 3530, 3450, 3432, 3430, 3357, 3354, 3350, 3340, 3329, 3324, 3321, 3309, 3281, 3278, 3261, 3260, 3239, 3227, 3201, 3178, 3175, 3032, 3021, 3007, 3004, 2976, 2974, 2973, 2939, 2937, 2904, 2820, 2775, 2752, 2750, 2743, 2729, 2726, 2718, 2716, 2712, 2710, 2684, 2682, 2675, 2663, 2661, 2658, 2642, 2625, 2617, 2615, 2610, 2587];FEASIBLE;82;True;299.971;0.0
28;29_3_34_L.lp.out;[9508, 9504, 9448, 9297, 9251, 9218, 9089, 9082, 8574, 8294, 7677, 7600, 7456, 7379, 7375, 7309, 7298, 7283, 7174, 7097, 6888, 6858, 6841, 6710, 6689, 6343, 6264, 6240, 6148, 6090, 5767];FEASIBLE;31;True;299.982;0.0
29;30_3_24_L.lp.out;[3973, 3933, 3682, 3645, 3563, 3493, 3405, 3380, 3329, 3224, 3216, 3194, 3148, 3046, 3026, 2997, 2988, 2980, 2951, 2865, 2861, 2776, 2729, 2708, 2683, 2680, 2677, 2669, 2642, 2570, 2556, 2480, 2476, 2468, 2460, 2433, 2394, 2393, 2386, 2378, 2374, 2371, 2355, 2348, 2339, 2335, 2331, 2330, 2329, 2322, 2302, 2296, 2288, 2282, 2257, 2251, 2229, 2218, 2201, 2197, 2177, 2172, 2169, 2162, 2159, 2148, 2140, 2132, 2103, 2098, 2083, 2082, 2071, 2066, 2052, 2050, 2047, 2045, 2034, 2029, 2025];OPTIMAL;81;False;93.482;0.0
30;31_3_30_L.lp.out;[6458, 6390, 6101, 5901, 5802, 5614, 5502, 5404, 5265, 5127, 5108, 4935, 4907, 4745, 4613, 4558, 4554, 4543, 4521, 4463, 4389, 4329, 4259, 4204, 4199, 4157, 4096, 4095, 4083, 4070, 4011, 3965, 3958, 3765, 3758, 3741, 3740, 3708, 3682, 3599, 3530, 3461, 3434, 3421, 3372, 3307, 3305, 3285, 3247, 3205, 3149, 3146];FEASIBLE;52;True;299.98;0.0
31;32_3_26_L.lp.out;[5313, 5079, 5049, 4755, 4654, 4546, 4493, 4429, 4387, 4318, 4246, 4237, 4148, 4108, 3961, 3886, 3882, 3834, 3798, 3719, 3704];FEASIBLE;21;True;299.993;0.0
32;33_3_5_L.lp.out;[903, 714, 677];OPTIMAL;3;False;0.02;0.0
33;34_3_12_L.lp.out;[2137, 2060, 1744, 1662, 1616, 1604, 1569, 1544, 1522, 1468, 1467, 1416, 1352, 1349, 1319];OPTIMAL;15;False;0.15;0.004
34;35_3_44_L.lp.out;[8221];FEASIBLE;1;True;300.306;0.0
35;36_3_44_L.lp.out;[9882, 9764, 9546, 9063, 8682, 8261, 8215, 8189, 7914, 7890, 7837, 7763, 7750];FEASIBLE;13;True;299.991;0.0
36;37_3_31_L.lp.out;[8184, 8079, 7956, 7893, 7739, 7500, 7364, 7089, 6878, 6742, 6629, 6487, 6483, 6478, 6345, 6163, 6011, 5989, 5905, 5804, 5755, 5584, 5540, 5245, 5147, 5114, 5071, 5066, 5025, 5006, 5001, 4918, 4916, 4825, 4789, 4737, 4697, 4685, 4662, 4569, 4513, 4502, 4497, 4464, 4459, 4435, 4392, 4390, 4337, 4291, 4175, 4093, 4053, 3994, 3987, 3979, 3976, 3958, 3954, 3953, 3940, 3907, 3885, 3854, 3822, 3806, 3803, 3794, 3781, 3777, 3762, 3751, 3750, 3737, 3728, 3707];OPTIMAL;76;False;140.145;1.053
37;38_3_44_L.lp.out;[9555, 9502];FEASIBLE;2;True;299.999;0.0
